City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend
Wollongong,New South Wales,Australia,11/13/1987 12:00:00 AM,Bachelors,Clerical,M,M,1,3,0,1,81916,1,50.97
Shawnee,British Columbia,Canada,7/21/1972 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,81076,1,53.11
West Covina,California,United States,11/9/1985 12:00:00 AM,Bachelors,Clerical,F,S,0,3,0,0,86387,1,54.08
Liverpool,England,United Kingdom,10/18/1977 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,2,61481,1,56.93
Werne,Nordrhein-Westfalen,Germany,2/5/1975 12:00:00 AM,Partial College,Skilled Manual,M,S,1,1,0,0,51804,1,55.41
Tacoma,Washington,United States,2/23/1975 12:00:00 AM,High School,Skilled Manual,F,M,1,2,2,2,61944,1,49.31
Redwood City,California,United States,12/3/1971 12:00:00 AM,Partial College,Manual,M,S,1,1,0,0,34919,0,56.01
Lavender Bay,New South Wales,Australia,3/7/1997 12:00:00 AM,Partial College,Skilled Manual,F,M,0,1,0,0,61832,1,49.29
Dunkerque,Nord,France,12/14/1976 12:00:00 AM,Partial College,Clerical,F,M,1,0,0,2,83834,1,50.05
Metz,Moselle,France,12/4/1976 12:00:00 AM,High School,Manual,M,S,0,1,0,0,26880,0,54.15
Redwood City,California,United States,11/20/1998 12:00:00 AM,Partial College,Clerical,F,S,0,1,0,0,77258,0,54.02
Lakewood,California,United States,4/21/1981 12:00:00 AM,Bachelors,Management,M,M,1,3,0,0,102698,0,58.29
Los Angeles,California,United States,10/24/1984 12:00:00 AM,Bachelors,Management,F,M,1,1,1,2,108198,1,52.66
Wollongong,New South Wales,Australia,8/12/1960 12:00:00 AM,Bachelors,Professional,M,M,1,2,0,2,133762,0,52.5
Maidenhead,England,United Kingdom,5/12/1991 12:00:00 AM,Partial High School,Manual,M,S,0,1,0,0,30526,0,49.61
Beverly Hills,California,United States,3/14/1971 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,0,2,56353,1,49.04
Puyallup,Washington,United States,6/2/1965 12:00:00 AM,High School,Clerical,F,S,1,3,1,1,79019,1,50.48
Langley,British Columbia,Canada,2/2/1993 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,55387,1,51
Darmstadt,Hessen,Germany,6/6/1981 12:00:00 AM,Bachelors,Management,M,M,1,2,0,2,113276,0,58.69
Orly,Val de Marne,France,6/20/1963 12:00:00 AM,Partial College,Management,M,S,1,1,0,1,109259,0,52.3
El Cajon,California,United States,7/10/1980 12:00:00 AM,High School,Clerical,F,M,1,0,0,2,83845,0,50.38
Berlin,Hessen,Germany,12/16/1976 12:00:00 AM,High School,Skilled Manual,F,M,1,0,2,2,59527,1,53.22
Oak Bay,British Columbia,Canada,11/5/1961 12:00:00 AM,Bachelors,Management,M,S,1,1,0,1,108360,0,51.88
Coronado,California,United States,9/19/1996 12:00:00 AM,Partial College,Clerical,M,M,0,1,0,0,87504,0,49.72
Hervey Bay,Queensland,Australia,2/27/1993 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,1,48.76
Coronado,California,United States,4/15/1989 12:00:00 AM,Bachelors,Professional,F,S,1,2,0,0,137464,1,52.03
Drancy,Seine Saint Denis,France,3/16/1990 12:00:00 AM,High School,Clerical,M,M,1,2,0,1,87676,1,49.89
Frankfurt,Hessen,Germany,3/2/1966 12:00:00 AM,Bachelors,Management,M,M,1,3,0,2,104187,1,51.15
Findon,South Australia,Australia,8/19/1983 12:00:00 AM,Bachelors,Clerical,M,S,0,1,0,0,78222,1,53.53
Newcastle,New South Wales,Australia,11/15/1986 12:00:00 AM,Graduate Degree,Clerical,F,M,1,2,0,1,77383,0,50.59
Morangis,Essonne,France,12/13/1984 12:00:00 AM,High School,Skilled Manual,F,M,1,1,2,2,60700,1,49.29
Pantin,Seine Saint Denis,France,9/24/1980 12:00:00 AM,High School,Manual,F,S,0,0,0,0,30913,0,49
West Covina,California,United States,11/11/1978 12:00:00 AM,Partial College,Clerical,F,S,1,2,0,0,86952,1,54.71
Sooke,British Columbia,Canada,7/16/1978 12:00:00 AM,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,1,55.64
Berkeley,California,United States,9/12/1997 12:00:00 AM,Partial College,Clerical,M,M,0,0,0,0,77478,0,50.55
Lemon Grove,California,United States,3/23/1988 12:00:00 AM,Bachelors,Clerical,M,M,1,2,0,1,78406,0,50.16
Kassel,Hessen,Germany,12/27/1990 12:00:00 AM,Partial College,Clerical,M,S,0,1,0,0,85318,0,51.02
Courbevoie,Hauts de Seine,France,4/27/1996 12:00:00 AM,High School,Skilled Manual,F,S,0,0,0,0,52928,1,52.17
Townsville,Queensland,Australia,5/14/1987 12:00:00 AM,Bachelors,Clerical,F,S,0,2,0,0,79224,1,52.31
Woolston,England,United Kingdom,7/3/1983 12:00:00 AM,Partial College,Manual,M,M,0,0,0,1,33076,1,53.13
Sèvres,Hauts de Seine,France,9/24/1985 12:00:00 AM,High School,Skilled Manual,F,M,1,1,0,2,56641,0,48.89
La Jolla,California,United States,8/24/1982 12:00:00 AM,High School,Manual,M,M,1,0,0,1,27203,0,52.46
Saint Ouen,Somme,France,11/20/1986 12:00:00 AM,High School,Clerical,F,S,0,3,0,0,77098,0,50.21
Paris,Seine (Paris),France,12/6/1988 12:00:00 AM,Bachelors,Management,M,M,1,3,2,2,103200,1,53.97
St. Leonards,New South Wales,Australia,11/4/1984 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,0,50.85
Saint-Denis,Seine Saint Denis,France,8/18/1974 12:00:00 AM,Partial College,Manual,F,S,0,1,0,0,25826,0,47.53
Lakewood,California,United States,3/16/1982 12:00:00 AM,High School,Manual,M,M,1,0,1,1,30925,1,50.48
Newcastle,New South Wales,Australia,6/4/1971 12:00:00 AM,Partial High School,Manual,F,M,1,1,1,2,30288,0,50.57
Oakland,California,United States,4/19/1985 12:00:00 AM,Bachelors,Manual,M,S,0,0,0,0,34685,1,48.1
Novato,California,United States,6/16/1989 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,1,51.99
Berlin,Hamburg,Germany,10/14/1995 12:00:00 AM,Partial College,Management,M,S,0,0,0,0,108342,1,51.43
Lane Cove,New South Wales,Australia,8/18/1987 12:00:00 AM,Bachelors,Professional,F,M,1,2,1,1,130385,1,55.52
Paris,Seine (Paris),France,11/16/1984 12:00:00 AM,Partial College,Skilled Manual,F,S,0,2,0,0,58227,1,50.76
Suresnes,Hauts de Seine,France,11/2/1994 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,52156,1,47.68
Cloverdale,South Australia,Australia,5/16/1986 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,131458,1,57.1
Oregon City,Oregon,United States,3/18/1998 12:00:00 AM,Partial College,Manual,M,S,0,1,0,0,33510,0,46.25
Corvallis,Oregon,United States,9/15/1966 12:00:00 AM,High School,Skilled Manual,F,S,1,1,0,1,56785,0,51.34
Paderborn,Hamburg,Germany,12/26/1993 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,58201,0,51.29
Palo Alto,California,United States,4/8/1985 12:00:00 AM,Bachelors,Clerical,F,M,1,2,0,1,82359,1,49.64
Lakewood,California,United States,4/21/1965 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,1,50.98
National City,California,United States,4/24/1980 12:00:00 AM,High School,Manual,M,M,1,1,1,2,33167,0,58.85
